"Ad name","Ad delivery",Results,"Result indicator","Cost per results","Amount spent (USD)","CPM (cost per 1,000 impressions) (USD)",Frequency,Reach,Impressions,"Clicks (all)","Cost per outbound click (USD)","Outbound CTR (click-through rate)","Outbound clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Link clicks","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)","Reporting starts","Reporting ends","Ad set budget","Ad set budget type","Campaign ID","Ad ID","Ad set name","Ad set ID","Campaign name","Results (initial)","Results (initial) indicator"
"soulmate-static-birth-9x16 (8)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240956496910284,120240956497050284,"Soulmate-v2-abo-static-date_of_birth-1 – 2",120240956497090284,Soulmate-v2-сbo-static-date_of_birth-4,,
"Starseed_ES_static_9x16 (10)-us",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120241042103500284,120241042103520284,Starseed_ES_cbo_static_9x16_US-1,120241042103490284,Starseed_ES_cbo_static_9x16_US-1,,
"soulmate-date-birth-9x16 (5)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239305542660284,120239305542650284,Soulmate-abo-video-date_of_birth-1,120239305542620284,Soulmate-сbo-video-date_of_birth-2,,
"soulmate-static-birth-9x16 (1) – 5",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240170192160284,120240170225250284,Soulmate-abo-static-date_of_birth-1,120240170192200284,Soulmate-сbo-static-date_of_birth(1)-8,,
"soulmate-static-birth-9x16 (8)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240841338740284,120240841344530284,"Soulmate-v2-abo-static-date_of_birth-1 – 2",120240841344490284,Soulmate-v2-сbo-static-date_of_birth-3,,
"Starseed_ES_static_9x16 (8)-latam",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120241042515200284,120241042515230284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,120241042515210284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240956496950284,120240956497040284,"Soulmate-v2-abo-static-date_of_birth-1 – 2",120240956497100284,Soulmate-v2-сbo-static-date_of_birth-5,,
"Starseed_ES_static_9x16 (2)-us",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120241042103500284,120241042103480284,Starseed_ES_cbo_static_9x16_US-1,120241042103490284,Starseed_ES_cbo_static_9x16_US-1,,
"soulmate-date-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239305542660284,120239305542640284,Soulmate-abo-video-date_of_birth-1,120239305542620284,Soulmate-сbo-video-date_of_birth-2,,
"soulmate-static-birth-9x16 (1) – 4",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240170192160284,120240170192180284,Soulmate-abo-static-date_of_birth-1,120240170192200284,Soulmate-сbo-static-date_of_birth(1)-8,,
"soulmate-static-birth-9x16 (13)",inactive,2,actions:offsite_conversion.fb_pixel_purchase,40.255,80.51,41.393316,1.048518,1855,1945,78,0.993951,4.164524,81,0.993951,4.164524,81,4.010283,1.032179,86,0.936163,2026-04-27,2026-04-27,"Using campaign budget",0,120240841338740284,120240841344510284,"Soulmate-v2-abo-static-date_of_birth-1 – 2",120240841344490284,Soulmate-v2-сbo-static-date_of_birth-3,,
"Starseed_ES_static_9x16 (7)-latam",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120241042515200284,120241042515220284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,120241042515210284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240956496910284,120240956497000284,"Soulmate-v2-abo-static-date_of_birth-1 – 2",120240956497090284,Soulmate-v2-сbo-static-date_of_birth-4,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240956496950284,120240956497020284,Soulmate-v2-abo-static-date_of_birth-1,120240956497080284,Soulmate-v2-сbo-static-date_of_birth-5,,
"soulmate-date-birth-9x16 (18)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239305542660284,120239305542630284,Soulmate-abo-video-date_of_birth-1,120239305542620284,Soulmate-сbo-video-date_of_birth-2,,
"soulmate-static-birth-9x16 (1) - 1",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240170192160284,120240170192170284,Soulmate-abo-static-date_of_birth-1,120240170192200284,Soulmate-сbo-static-date_of_birth(1)-8,,
"soulmate-static-birth-9x16 (4)",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,18.3875,73.55,48.547855,1.062412,1426,1515,65,1.290351,3.762376,57,1.290351,3.762376,57,4.290429,1.131538,56,1.313393,2026-04-27,2026-04-27,"Using campaign budget",0,120240841338740284,120240841344500284,"Soulmate-v2-abo-static-date_of_birth-1 – 2",120240841344490284,Soulmate-v2-сbo-static-date_of_birth-3,,
"Starseed_ES_static_9x16 (2)-latam",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120241042515200284,120241042515190284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,120241042515210284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240956496910284,120240956496940284,Soulmate-v2-abo-static-date_of_birth-1,120240956497060284,Soulmate-v2-сbo-static-date_of_birth-4,,
"soulmate-static-birth-9x16 (1) – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239989810150284,120239989810160284,Soulmate-abo-static-date_of_birth-1,120239989810140284,"Soulmate-сbo-static-date_of_birth(1)-5 – Copy",,
"soulmate-static-birth-9x16 (1) – 3",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239286855920284,120239287016610284,Soulmate-abo-static-date_of_birth-1,120239286855940284,Soulmate-сbo-static-date_of_birth(1)-3,,
"soulmate-static-birth-9x16 (1) – 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240170192160284,120240170192150284,Soulmate-abo-static-date_of_birth-1,120240170192200284,Soulmate-сbo-static-date_of_birth(1)-8,,
"soulmate-static-birth-9x16 (13)",inactive,6,actions:offsite_conversion.fb_pixel_purchase,12.27333333,73.64,56,1.032993,1273,1315,50,1.502857,3.726236,49,1.502857,3.726236,49,3.802281,1.4728,49,1.502857,2026-04-27,2026-04-27,"Using campaign budget",0,120240841338740284,120240841338790284,Soulmate-v2-abo-static-date_of_birth-1,120240841338780284,Soulmate-v2-сbo-static-date_of_birth-3,,
"Starseed_ES_static_9x16 (7)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120241041219770284,120241041806630284,Starseed_ES_cbo_static_9x16_ww-1,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240841338740284,120240841344520284,"Soulmate-v2-abo-static-date_of_birth-1 – 2",120240841344490284,Soulmate-v2-сbo-static-date_of_birth-3,,
"soulmate-static-birth-9x16 (1) – 3",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239452835860284,120239452835890284,Soulmate-abo-static-date_of_birth-1,120239452835910284,Soulmate-сbo-static-date_of_birth(1)-4,,
"soulmate-static-birth-9x16 (1) – 4",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239286855920284,120239287016600284,Soulmate-abo-static-date_of_birth-1,120239286855940284,Soulmate-сbo-static-date_of_birth(1)-3,,
"soulmate-static-birth-9x16 (1) – 4",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239989810150284,120239989810190284,Soulmate-abo-static-date_of_birth-1,120239989810140284,"Soulmate-сbo-static-date_of_birth(1)-5 – Copy",,
"soulmate-static-birth-9x16 (8)",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,17.92,35.84,37.966102,1.069083,883,944,39,0.995556,3.813559,36,0.995556,3.813559,36,4.131356,0.918974,36,0.995556,2026-04-27,2026-04-27,"Using campaign budget",0,120240841338740284,120240841338770284,Soulmate-v2-abo-static-date_of_birth-1,120240841338780284,Soulmate-v2-сbo-static-date_of_birth-3,,
"Starseed_ES_static_9x16 (10)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120241041219770284,120241041806620284,Starseed_ES_cbo_static_9x16_ww-1,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240841338740284,120240841338760284,Soulmate-v2-abo-static-date_of_birth-1,120240841338780284,Soulmate-v2-сbo-static-date_of_birth-3,,
"soulmate-static-birth-9x16 (1) – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239452835860284,120239452835880284,Soulmate-abo-static-date_of_birth-1,120239452835910284,Soulmate-сbo-static-date_of_birth(1)-4,,
"soulmate-static-birth-9x16 (1) – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239286855920284,120239287016590284,Soulmate-abo-static-date_of_birth-1,120239286855940284,Soulmate-сbo-static-date_of_birth(1)-3,,
"soulmate-static-birth-9x16 (1) – 3",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239968509520284,120239968509660284,Soulmate-abo-static-date_of_birth-1,120239968509490284,Soulmate-сbo-static-date_of_birth(1)-6,,
"soulmate-static-birth-9x16 (4)",inactive,,,,16.27,46.221591,1.04142,338,352,6,3.254,1.420455,5,3.254,1.420455,5,1.704545,2.711667,3,5.423333,2026-04-27,2026-04-27,"Using campaign budget",0,120240841338740284,120240841338750284,Soulmate-v2-abo-static-date_of_birth-1,120240841338780284,Soulmate-v2-сbo-static-date_of_birth-3,,
"Starseed_ES_static_9x16 (1)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120241041219770284,120241041806600284,Starseed_ES_cbo_static_9x16_ww-1,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
"soulmate-static-birth-9x16 mix - 1",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240359756640284,120240359756610284,Soulmate-abo-static-date_of_birth-11,120240359756600284,Soulmate-сbo-static-date_of_birth-11,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,50,Daily,120238347016050284,120238347016020284,Soulmate-abo-static-date_of_birth-1,120238347015990284,Soulmate-abo-static-date_of_birth-2,,
"soulmate-static-birth-9x16 (1) - 1",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239286855920284,120239286855950284,Soulmate-abo-static-date_of_birth-1,120239286855940284,Soulmate-сbo-static-date_of_birth(1)-3,,
"soulmate-static-birth-9x16 (1) - 1",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239968509520284,120239968509530284,Soulmate-abo-static-date_of_birth-1,120239968509490284,Soulmate-сbo-static-date_of_birth(1)-6,,
"soulmate-static-birth-9x16 (8)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240639307440284,120240639307450284,Soulmate-v2-abo-static-date_of_birth-1,120240639307400284,Soulmate-v2-сbo-static-date_of_birth-2,,
"Starseed_ES_static_9x16 (8)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120241041219770284,120241041806570284,Starseed_ES_cbo_static_9x16_ww-1,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
"soulmate-static-birth-9x16 (1) – 3",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240170192160284,120240170192190284,Soulmate-abo-static-date_of_birth-1,120240170192200284,Soulmate-сbo-static-date_of_birth(1)-8,,
Pastlife-sins-3,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,50,Daily,120238232931510284,120238233933390284,Pastlife-sins-3,120238233933360284,Pastlife-static-1-4-1,,
"Soulmate-static-heart-1x1 (1)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,40,Daily,120239232921650284,120239233102680284,Soulmate-abo-static-heart-1x1-1,120239233102600284,Soulmate-abo-static-heart-1x1-1,,
"soulmate-static-birth-9x16 (1) – 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239968509520284,120239968509510284,Soulmate-abo-static-date_of_birth-1,120239968509490284,Soulmate-сbo-static-date_of_birth(1)-6,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240639307440284,120240639307430284,Soulmate-v2-abo-static-date_of_birth-1,120240639307400284,Soulmate-v2-сbo-static-date_of_birth-2,,
"Starseed_ES_static_9x16 (2)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120241041219770284,120241041219760284,Starseed_ES_cbo_static_9x16_ww-1,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
"Post: ""Your ex could come back sooner than you think… 😳💔""",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,2,Daily,120239990229510284,120239990232820284,"Post: ""Your ex could come back sooner than you think… 😳💔""",120239990230080284,"Post: ""Your ex could come back sooner than you think… 😳💔""",,
"Soulmate-static-heart-1x1 (2)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,40,Daily,120239232921650284,120239233102670284,Soulmate-abo-static-heart-1x1-2,120239233102610284,Soulmate-abo-static-heart-1x1-1,,
"soulmate-static-birth-9x16 (1) – 4",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239968509520284,120239968509500284,Soulmate-abo-static-date_of_birth-1,120239968509490284,Soulmate-сbo-static-date_of_birth(1)-6,,
"soulmate-static-birth-9x16 (13)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240639307440284,120240639307420284,Soulmate-v2-abo-static-date_of_birth-1,120240639307400284,Soulmate-v2-сbo-static-date_of_birth-2,,
"soulmate-static-birth-9x16 (8)",inactive,2,actions:offsite_conversion.fb_pixel_purchase,31.295,62.59,56.951774,1.029026,1068,1099,61,1.138,5.00455,55,1.138,5.00455,55,5.5505,1.026066,53,1.180943,2026-04-27,2026-04-27,"Using campaign budget",0,120240956496950284,120240956497300284,Soulmate-v2-abo-static-date_of_birth-1,120240956497080284,Soulmate-v2-сbo-static-date_of_birth-5,,
"soulmate-static-birth-9x16 (1) – 3",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239989810150284,120239989810220284,Soulmate-abo-static-date_of_birth-1,120239989810140284,"Soulmate-сbo-static-date_of_birth(1)-5 – Copy",,
"Soulmate-static-heart-1x1 (3)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,40,Daily,120239232921650284,120239233102660284,Soulmate-abo-static-heart-1x1-3,120239233102620284,Soulmate-abo-static-heart-1x1-1,,
"soulmate-static-birth-9x16 (5) – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239530590420284,120239530590430284,Soulmate-abo-static-date_of_birth-1,120239530590440284,"Soulmate-сbo-static-date_of_birth(1)-8 – ww",,
"soulmate-static-birth-9x16 (4)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,1,0,2026-04-27,2026-04-27,"Using campaign budget",0,120240639307440284,120240639307410284,Soulmate-v2-abo-static-date_of_birth-1,120240639307400284,Soulmate-v2-сbo-static-date_of_birth-2,,
"soulmate-static-birth-9x16 (4)",inactive,1,actions:offsite_conversion.fb_pixel_purchase,57.01,57.01,24.830139,1.016829,2258,2296,76,0.791806,3.135889,72,0.791806,3.135889,72,3.310105,0.750132,70,0.814429,2026-04-27,2026-04-27,"Using campaign budget",0,120240956496910284,120240956497030284,"Soulmate-v2-abo-static-date_of_birth-1 – 2",120240956497090284,Soulmate-v2-сbo-static-date_of_birth-4,,
"soulmate-static-birth-9x16 (1) - 1",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239989810150284,120239989810180284,Soulmate-abo-static-date_of_birth-1,120239989810140284,"Soulmate-сbo-static-date_of_birth(1)-5 – Copy",,
"Soulmate-static-heart-1x1 (4)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,40,Daily,120239232921650284,120239233102650284,Soulmate-abo-static-heart-1x1-4,120239233102630284,Soulmate-abo-static-heart-1x1-1,,
"soulmate-static-birth-9x16 (1v2) – 3",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239530590420284,120239530590400284,Soulmate-abo-static-date_of_birth-1,120239530590440284,"Soulmate-сbo-static-date_of_birth(1)-8 – ww",,
"soulmate-static-birth-9x16 (4)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240588892110284,120240588892150284,Soulmate-v2-abo-static-date_of_birth-1,120240588892160284,Soulmate-v2-сbo-static-date_of_birth-1,,
"soulmate-static-birth-9x16 (4)",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,34.89,34.89,41.241135,1.032967,819,846,23,1.661429,2.48227,21,1.661429,2.48227,21,2.718676,1.516957,22,1.585909,2026-04-27,2026-04-27,"Using campaign budget",0,120240956496950284,120240956497010284,Soulmate-v2-abo-static-date_of_birth-1,120240956497080284,Soulmate-v2-сbo-static-date_of_birth-5,,
"soulmate-static-birth-9x16 (1) - 1",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239530590420284,120239530590410284,Soulmate-abo-static-date_of_birth-1,120239530590440284,"Soulmate-сbo-static-date_of_birth(1)-8 – ww",,
"Soulmate-static-heart-1x1 (5)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,40,Daily,120239232921650284,120239233102590284,Soulmate-abo-static-heart-1x1-5,120239233102640284,Soulmate-abo-static-heart-1x1-1,,
"soulmate-static-birth-9x16 (13) – 4",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239530590420284,120239530590390284,Soulmate-abo-static-date_of_birth-1,120239530590440284,"Soulmate-сbo-static-date_of_birth(1)-8 – ww",,
"soulmate-static-birth-9x16 (13)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240588892110284,120240588892140284,Soulmate-v2-abo-static-date_of_birth-1,120240588892160284,Soulmate-v2-сbo-static-date_of_birth-1,,
"soulmate-static-birth-9x16 (4)",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,34.65,69.3,28.193653,1,2458,2458,80,0.877215,3.213995,79,0.877215,3.213995,79,3.254679,0.86625,76,0.911842,2026-04-27,2026-04-27,"Using campaign budget",0,120240956496950284,120240956496990284,"Soulmate-v2-abo-static-date_of_birth-1 – 2",120240956497100284,Soulmate-v2-сbo-static-date_of_birth-5,,
"soulmate-static-birth-9x16 (1) – 4",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239452835860284,120239452835900284,Soulmate-abo-static-date_of_birth-1,120239452835910284,Soulmate-сbo-static-date_of_birth(1)-4,,
"Soulmate-static-heart-1x1 (6)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,40,Daily,120239232921650284,120239232921670284,Soulmate-abo-static-heart-1x1-6,120239232921680284,Soulmate-abo-static-heart-1x1-1,,
"soulmate-static-birth-9x16 (13) – 4",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239465472520284,120239465472560284,Soulmate-abo-static-date_of_birth-1,120239465472570284,Soulmate-сbo-static-date_of_birth(1)-7,,
"soulmate-static-birth-9x16 (8)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240588892110284,120240588892130284,Soulmate-v2-abo-static-date_of_birth-1,120240588892160284,Soulmate-v2-сbo-static-date_of_birth-1,,
"soulmate-static-birth-9x16 (8)",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,29.445,58.89,48.629232,1.036815,1168,1211,38,1.549737,3.137903,38,1.549737,3.137903,38,3.137903,1.549737,39,1.51,2026-04-27,2026-04-27,"Using campaign budget",0,120240956496910284,120240956496980284,Soulmate-v2-abo-static-date_of_birth-1,120240956497060284,Soulmate-v2-сbo-static-date_of_birth-4,,
"soulmate-static-birth-9x16 (1) - 1",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239452835860284,120239452835870284,Soulmate-abo-static-date_of_birth-1,120239452835910284,Soulmate-сbo-static-date_of_birth(1)-4,,
"soulmate-date-birth-9x16 (4)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239164453290284,120239164453340284,Soulmate-abo-video-date_of_birth-1,120239164453280284,Soulmate-сbo-video-date_of_birth-1,,
"soulmate-static-birth-9x16 (5) – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239465472520284,120239465472550284,Soulmate-abo-static-date_of_birth-1,120239465472570284,Soulmate-сbo-static-date_of_birth(1)-7,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240588892110284,120240588892120284,Soulmate-v2-abo-static-date_of_birth-1,120240588892160284,Soulmate-v2-сbo-static-date_of_birth-1,,
"soulmate-static-birth-9x16 (13)",inactive,3,actions:offsite_conversion.fb_pixel_purchase,20.98666667,62.96,44.400564,1.044183,1358,1418,67,0.968615,4.583921,65,0.968615,4.583921,65,4.724965,0.939701,76,0.828421,2026-04-27,2026-04-27,"Using campaign budget",0,120240956496950284,120240956496970284,Soulmate-v2-abo-static-date_of_birth-1,120240956497080284,Soulmate-v2-сbo-static-date_of_birth-5,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,50,Daily,120238347016050284,120238347016060284,"Soulmate-abo-static-date_of_birth-1 – Copy 2",120238347015970284,Soulmate-abo-static-date_of_birth-2,,
"soulmate-date-birth-9x16 (1)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239164453290284,120239164453330284,Soulmate-abo-video-date_of_birth-1,120239164453280284,Soulmate-сbo-video-date_of_birth-1,,
"soulmate-static-birth-9x16 (1v2) – 3",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239465472520284,120239465472540284,Soulmate-abo-static-date_of_birth-1,120239465472570284,Soulmate-сbo-static-date_of_birth(1)-7,,
"soulmate-static-birth-9x16 mix - 5",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240359756640284,120240359756660284,Soulmate-abo-static-date_of_birth-11,120240359756600284,Soulmate-сbo-static-date_of_birth-11,,
"soulmate-static-birth-9x16 mix - 4",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240353549380284,120240359306620284,Soulmate-abo-static-date_of_birth-9,120240353549370284,Soulmate-сbo-static-date_of_birth-9,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,50,Daily,120238347016050284,120238347016010284,"Soulmate-abo-static-date_of_birth-1 – Copy 2",120238347016070284,Soulmate-abo-static-date_of_birth-2,,
"soulmate-date-birth-9x16 (18)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239164453290284,120239164453320284,Soulmate-abo-video-date_of_birth-1,120239164453280284,Soulmate-сbo-video-date_of_birth-1,,
"soulmate-static-birth-9x16 (1) - 1",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120239465472520284,120239465472530284,Soulmate-abo-static-date_of_birth-1,120239465472570284,Soulmate-сbo-static-date_of_birth(1)-7,,
"soulmate-static-birth-9x16 mix - 4",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240359756640284,120240359756650284,Soulmate-abo-static-date_of_birth-11,120240359756600284,Soulmate-сbo-static-date_of_birth-11,,
"soulmate-static-birth-9x16 mix - 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,"Using campaign budget",0,120240353549380284,120240359306600284,Soulmate-abo-static-date_of_birth-9,120240353549370284,Soulmate-сbo-static-date_of_birth-9,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-27,2026-04-27,60,Daily,120238347016050284,120238347016000284,"Soulmate-abo-static-date_of_birth-1 – Copy",120238347016030284,Soulmate-abo-static-date_of_birth-2,,
